buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
38000.0,38.0,1000.0,120.9588087085708,50.371939910270946,38000,38000.0,766.4852433204651
39000.0,39.0,1000.0,258.6796964149795,50.446983323669436,39000,39000.0,786.3080341815948
40000.0,40.0,1000.0,230.406049644842,50.56694042368215,40000,40000.0,806.0838005542755
41000.0,41.0,1000.0,312.2156238470552,26.65246016848497,41000,41000.0,843.6037890911102
42000.0,42.0,1000.0,295.0781292300212,50.549228662507346,42000,42000.0,863.3864846229553
43000.0,43.0,1000.0,307.9631951167481,50.66184590244885,43000,43000.0,883.1252048015594
44000.0,44.0,1000.0,273.89834463508333,50.19974615897744,44000,44000.0,903.045624256134
45000.0,45.0,1000.0,261.2971478883402,49.96961652921809,45000,45000.0,923.0577850341797
46000.0,46.0,1000.0,298.1696525765136,50.25692078345939,46000,46000.0,942.9555420875549
47000.0,47.0,1000.0,349.20156339466365,50.19398677497474,47000,47000.0,962.8782472610474
48000.0,48.0,1000.0,266.7363701325853,50.45795455367057,48000,48000.0,982.6967279911041
49000.0,49.0,1000.0,212.54561466093134,50.69706616649187,49000,49000.0,1002.4217352867126
50000.0,50.0,1000.0,317.2478204743731,50.74050913672467,50000,50000.0,1022.1298544406891
51000.0,51.0,1000.0,473.71718937613696,26.93423251445459,51000,51000.0,1059.2573277950287
52000.0,52.0,1000.0,235.90163461008683,50.82319181820944,52000,52000.0,1078.9333844184875
53000.0,53.0,1000.0,298.5889802645769,50.703391474972015,53000,53000.0,1098.6559309959412
54000.0,54.0,1000.0,220.55510365486958,50.57700453439301,54000,54000.0,1118.4277622699738
55000.0,55.0,1000.0,281.1936172673519,50.641008451400694,55000,55000.0,1138.1746044158936
56000.0,56.0,1000.0,281.6144107870824,50.69626404800562,56000,56000.0,1157.8999238014221
57000.0,57.0,1000.0,90.69680631411812,50.87152223318577,57000,57000.0,1177.5572872161865
58000.0,58.0,1000.0,103.1104021574256,50.72135007400318,58000,58000.0,1197.2728507518768
59000.0,59.0,1000.0,183.74562618362998,50.88580623541067,59000,59000.0,1216.9246962070465
60000.0,60.0,1000.0,159.3090618607111,50.74330284132706,60000,60000.0,1236.6317303180695
61000.0,61.0,1000.0,249.6641399525671,27.831064069419895,61000,61000.0,1272.5628035068512
62000.0,62.0,1000.0,154.97777433053471,50.695534258662434,62000,62000.0,1292.2884068489075
63000.0,63.0,1000.0,216.42593408490686,50.76259891090771,63000,63000.0,1311.987949848175
64000.0,64.0,1000.0,150.72631177988225,50.68529858866659,64000,64000.0,1331.717536687851
65000.0,65.0,1000.0,153.20443249150912,50.84259431220732,65000,65000.0,1351.3860845565796
66000.0,66.0,1000.0,138.7056092655163,50.76052366444086,66000,66000.0,1371.0864329338074
67000.0,67.0,1000.0,76.37412281221785,50.78661604001162,67000,67000.0,1390.7766599655151
68000.0,68.0,1000.0,163.5243051108405,50.773800676046406,68000,68000.0,1410.4718568325043
69000.0,69.0,1000.0,154.20850536294722,50.82135669786323,69000,69000.0,1430.1486239433289
70000.0,70.0,1000.0,248.29490998724165,50.74595502748528,70000,70000.0,1449.85462808609
71000.0,71.0,1000.0,170.67460777089104,27.530807047415163,71000,71000.0,1486.177573442459
72000.0,72.0,1000.0,236.0951105418908,50.78113559673819,72000,72000.0,1505.8699254989624
